annual_income,credit_score,previous_defaults,credit_utilization_ratio,inquiry_count_6m,debt_to_income_ratio,default_flag
50105,711,0,0.23,1,0.29,0
48593,654,0,0.22,2,0.15,0
44764,825,0,0.51,3,0.47,0
58234,643,0,0.32,2,0.39,0
56087,749,0,0.98,1,0.23,0
60082,704,0,0.16,2,0.17,0
63665,766,0,0.66,2,0.12,0
55987,598,1,0.46,1,0.3,0
51367,694,2,0.51,0,0.24,0
50105,588,0,0.32,1,0.27,0
43574,609,0,0.09,3,0.39,0
56626,693,0,0.57,1,0.29,0
42124,709,1,0.11,3,0.16,0
50105,681,0,0.65,1,0.2,0
48804,701,0,0.14,0,0.44,0
46646,728,0,0.26,0,0.25,0
62057,660,1,0.43,0,0.34,0
61565,675,0,0.14,1,0.25,0
50105,606,0,0.59,1,0.41,0
50105,650,1,0.62,1,0.35,0
47478,598,1,0.12,1,0.38,0
50105,739,0,0.06,2,0.37,0
47873,634,0,0.07,1,0.17,0
51786,657,0,0.93,0,0.32,0
51723,697,1,0.06,1,0.46,0
44933,618,1,0.73,1,0.29,1
35132,670,1,0.53,1,0.31,0
50105,574,0,1.0,3,0.22,0
50105,694,1,0.68,2,0.51,0
50105,684,0,0.74,1,0.19,0
56730,731,0,0.4,4,0.26,0
50105,711,0,0.54,2,0.29,0
57163,652,0,0.12,1,0.24,0
55338,693,0,0.71,0,0.12,0
55105,703,1,0.37,1,0.29,0
48297,658,1,0.43,1,0.05,0
46693,692,0,0.94,3,0.33,0
60270,664,0,0.29,4,0.26,0
34168,725,0,0.59,2,0.1,0
50105,634,0,0.62,3,0.06,0
60630,629,1,0.53,1,0.2,0
35690,667,0,0.5,2,0.39,0
31023,650,0,0.37,0,0.49,0
50105,655,0,0.18,1,0.13,0
50105,794,0,0.21,1,0.16,0
61853,675,0,0.61,2,0.34,0
43837,678,0,0.44,1,0.25,0
50105,729,1,0.46,2,0.23,0
43859,669,0,0.03,0,0.25,0
42968,642,0,0.59,1,0.44,0
53133,697,0,0.39,0,0.45,0
40426,776,0,0.12,1,0.45,0
31486,644,1,0.43,0,0.37,0
52604,795,0,0.74,3,0.1,0
64782,748,0,0.29,3,0.14,0
43335,787,0,0.29,1,0.52,0
50105,670,0,0.29,0,0.39,0
50105,632,0,0.61,0,0.21,0
35877,734,2,0.54,2,0.32,0
56838,690,0,0.36,1,0.29,0
44898,704,0,0.02,0,0.23,0
50105,652,1,0.58,1,0.15,0
50105,686,1,0.21,1,0.03,0
36436,725,0,0.89,3,0.39,0
47640,748,0,0.19,2,0.42,0
67575,588,0,0.04,0,0.36,0
65480,746,0,0.39,3,0.15,0
50105,682,0,0.66,1,0.29,0
62772,623,1,0.42,1,0.32,0
50105,640,1,0.51,0,0.16,0
50105,686,0,0.06,1,0.21,0
65031,704,0,0.49,1,0.28,0
64145,594,0,0.4,1,0.36,0
50105,687,1,0.61,1,0.23,0
51999,745,0,0.09,1,0.29,0
44602,700,0,0.64,0,0.21,0
50105,737,1,0.37,1,0.17,0
50105,661,0,0.35,2,0.08,0
57924,749,0,0.1,2,0.2,0
34746,685,0,0.57,0,0.51,0
50105,655,0,0.16,1,0.29,0
50105,786,0,0.26,3,0.19,0
47220,739,0,0.15,0,0.31,0
52537,615,0,0.43,1,0.28,0
50105,813,0,0.17,1,0.16,0
50105,725,0,0.81,4,0.07,0
53499,744,0,0.2,4,0.1,0
50105,694,0,0.58,0,0.52,0
50105,585,0,0.65,1,0.29,0
41889,625,0,0.78,0,0.37,0
33321,709,0,0.1,2,0.46,0
44704,642,1,0.67,0,0.41,0
34287,661,0,0.21,0,0.29,0
58580,650,0,0.99,1,0.24,0
42282,667,0,0.29,1,0.47,0
56401,649,0,0.48,0,0.26,0
50105,665,0,0.16,3,0.26,0
51816,675,0,0.25,1,0.25,0
35365,730,1,0.26,0,0.37,0
48857,688,2,0.23,2,0.26,0
36544,675,0,0.32,1,0.29,0
48720,668,0,0.28,0,0.33,0
57523,653,1,0.77,1,0.12,0
37105,735,0,0.81,2,0.45,0
39275,738,0,0.4,1,0.47,0
52046,603,0,0.99,0,0.23,0
42987,685,0,0.59,3,0.36,0
55671,670,1,0.43,4,0.27,0
50105,585,0,0.1,4,0.23,0
44519,678,2,0.6,5,0.32,0
50105,644,0,0.56,3,0.24,0
52428,694,0,0.3,1,0.42,0
54587,701,0,0.13,1,0.26,0
36124,668,1,0.8,1,0.29,0
50105,741,0,0.37,2,0.34,0
46108,620,1,0.32,3,0.04,0
45535,760,0,0.69,0,0.34,0
57688,837,0,0.57,0,0.36,0
54925,661,0,0.37,3,0.3,0
31295,761,0,0.27,1,0.29,0
51874,618,0,0.65,1,0.38,0
50105,655,0,0.72,4,0.29,0
57278,698,2,0.13,3,0.14,0
43187,744,0,0.72,3,0.38,0
44934,673,0,0.27,1,0.33,0
54423,730,0,0.2,0,0.23,0
45164,680,0,0.12,1,0.2,0
47722,775,0,0.45,0,0.45,0
60687,703,0,0.51,0,0.29,0
64306,634,0,0.95,0,0.14,0
38445,568,2,0.59,1,0.5,1
44471,717,1,0.49,1,0.34,0
54628,644,0,0.35,0,0.22,0
59307,748,0,0.28,1,0.2,0
48425,727,1,0.72,2,0.22,0
65562,689,0,0.16,0,0.4,0
68998,647,1,0.17,0,0.29,0
58032,646,0,0.18,2,0.13,0
33090,692,0,0.31,0,0.09,0
65365,711,1,0.24,3,0.41,0
46112,717,0,0.29,1,0.52,0
50105,653,0,0.15,2,0.15,0
50105,630,1,0.44,1,0.53,0
52641,670,0,0.39,1,0.41,0
48328,650,0,0.71,1,0.34,0
55586,705,0,0.36,1,0.02,0
48659,666,0,0.68,3,0.41,0
53015,751,0,0.92,1,0.17,0
50530,640,0,0.47,0,0.15,0
50105,580,1,0.03,1,0.29,1
49304,698,0,0.22,1,0.22,0
48021,748,0,0.62,1,0.19,0
62377,656,0,0.28,2,0.3,0
56536,630,0,0.79,1,0.48,0
63623,688,1,0.22,1,0.11,0
35338,766,0,0.49,0,0.48,0
58116,636,0,0.73,3,0.2,0
57649,645,1,0.18,0,0.28,0
62669,678,0,0.23,0,0.18,0
41240,692,0,0.65,0,0.23,0
50105,721,0,0.16,1,0.21,0
50105,624,0,0.42,2,0.22,0
34216,692,0,0.39,3,0.51,0
46178,704,0,0.32,4,0.25,0
44818,728,0,0.26,1,0.28,0
49274,666,1,0.48,2,0.22,0
33419,779,1,0.59,2,0.45,0
39598,657,0,0.41,3,0.28,0
57931,728,0,0.84,0,0.22,0
61046,725,0,0.52,1,0.23,0
50105,690,0,0.65,1,0.17,0
55992,752,0,0.52,2,0.4,0
60086,656,1,0.24,0,0.22,0
50105,628,0,0.48,2,0.29,0
54587,664,0,0.66,0,0.39,0
65565,780,1,0.66,1,0.22,0
43188,704,0,0.06,1,0.42,0
40876,724,0,0.06,2,0.24,0
50105,604,0,0.6,2,0.12,0
68796,642,0,0.26,0,0.27,0
50105,630,1,1.0,1,0.22,0
46570,643,0,0.38,2,0.31,0
48576,565,0,0.32,1,0.13,0
34747,657,0,0.36,1,0.29,0
45062,757,1,0.19,2,0.25,0
41631,656,0,0.4,1,0.38,0
32946,688,0,0.12,0,0.5,0
49147,629,1,0.59,3,0.19,0
38794,769,1,0.38,2,0.2,0
53945,625,0,0.33,7,0.14,0
48760,773,0,0.51,3,0.33,0
53363,714,0,0.91,1,0.1,0
60693,624,0,0.03,1,0.15,0
49669,649,0,0.33,2,0.29,0
34011,787,0,0.93,1,0.39,0
47126,704,0,0.17,1,0.14,0
65850,666,0,0.45,2,0.24,0
60313,677,0,0.23,1,0.27,0
60038,670,3,0.29,1,0.17,0
57703,649,1,0.71,3,0.22,0
67254,746,0,0.33,0,0.24,0
51522,712,0,0.49,2,0.32,0
34981,698,1,0.87,4,0.46,1
46913,714,1,0.41,2,0.14,0
50105,700,0,0.66,0,0.29,0
41703,777,0,0.7,0,0.3,0
48129,611,0,0.55,3,0.15,0
41128,697,0,0.4,0,0.46,0
40226,664,0,0.4,2,0.12,0
36447,754,0,0.08,2,0.05,0
54787,711,1,0.19,2,0.28,0
42032,741,0,0.47,2,0.35,0
39814,607,2,0.19,2,0.32,0
50105,648,0,0.32,3,0.31,0
50105,665,0,0.26,3,0.29,0
33008,770,0,0.69,0,0.26,0
40701,649,0,0.41,0,0.35,0
61500,647,0,0.15,1,0.18,0
50105,725,0,0.49,1,0.29,0
47946,683,0,0.49,1,0.29,0
47344,629,1,0.61,3,0.33,0
39577,669,0,0.28,1,0.14,0
63198,686,2,0.6,4,0.16,0
53593,589,0,0.46,0,0.25,0
48422,786,0,0.21,4,0.27,0
50596,672,0,0.31,3,0.08,0
52794,621,0,0.5,4,0.23,0
37148,572,0,1.0,1,0.29,0
48675,686,0,0.85,2,0.29,0
50105,680,0,0.17,2,0.24,0
32260,613,0,0.32,0,0.29,0
55739,650,0,0.64,2,0.44,0
45330,760,0,0.15,3,0.11,0
50105,667,0,0.42,1,0.2,0
51648,651,0,0.23,2,0.02,0
34414,735,0,0.31,2,0.25,0
61289,778,0,0.24,1,0.05,0
46903,673,0,1.0,2,0.3,0
35485,775,1,0.14,0,0.45,0
56702,753,0,0.57,3,0.18,0
31781,660,1,0.47,1,0.42,0
42440,689,1,0.23,1,0.47,0
47614,725,0,0.46,1,0.28,0
60042,675,0,0.62,1,0.14,0
34488,700,0,0.27,3,0.29,0
62435,597,0,0.1,0,0.17,0
61473,753,0,0.22,2,0.23,0
38391,689,0,0.41,2,0.46,0
41856,684,0,0.5,5,0.19,0
43194,718,2,0.35,0,0.29,0
64367,693,0,0.63,2,0.2,0
65186,672,1,0.35,2,0.18,0
50105,649,0,0.13,2,0.11,0
56873,740,0,0.81,1,0.27,0
47913,608,0,0.09,1,0.23,0
65323,716,0,0.3,0,0.27,0
50105,642,1,0.32,0,0.5,0
50105,684,1,0.41,2,0.37,0
49917,635,0,0.26,4,0.44,0
50105,642,1,0.98,1,0.29,1
43689,663,1,0.47,1,0.3,0
35677,646,0,0.08,3,0.22,0
50105,716,0,0.42,0,0.26,0
65576,751,1,0.64,3,0.18,0
38570,670,0,0.4,2,0.24,0
64330,749,0,0.58,3,0.36,0
51914,644,1,0.2,6,0.34,0
59718,674,1,0.35,2,0.18,0
47251,684,1,0.44,1,0.15,0
65814,633,0,0.51,5,0.1,0
59639,688,0,0.25,2,0.02,0
44036,694,0,0.47,3,0.2,0
50105,706,0,0.11,3,0.14,0
50105,689,0,0.71,3,0.4,0
66424,664,0,0.5,2,0.24,0
51024,657,0,0.96,1,0.31,0
50105,597,0,0.82,1,0.24,0
37739,599,0,0.12,2,0.49,0
58612,693,0,0.03,0,0.21,0
41365,718,0,1.0,2,0.26,0
33340,712,1,0.37,1,0.51,0
49747,695,3,0.69,0,0.21,0
40413,729,0,0.44,2,0.42,0
44108,674,0,0.18,2,0.27,0
50105,731,0,0.27,2,0.16,0
60636,635,1,0.67,1,0.22,0
56820,700,0,0.31,3,0.23,0
51055,688,0,0.16,0,0.2,0
42593,549,1,0.32,2,0.5,0
51543,701,0,0.26,2,0.43,0
45553,618,0,0.65,0,0.4,0
50105,676,0,0.33,1,0.23,0
34136,674,1,0.29,1,0.39,0
53609,629,0,0.36,1,0.14,0
45863,617,0,0.05,2,0.53,0
37547,630,0,1.0,2,0.29,0
44537,672,1,0.42,0,0.22,0
54276,705,0,0.18,2,0.25,0
37633,690,1,0.51,0,0.29,0
60924,691,0,0.24,2,0.3,0
43461,622,2,0.23,3,0.1,0
50105,717,2,0.58,0,0.23,0
39821,753,0,0.55,1,0.29,0
53582,689,0,0.42,1,0.29,0
53863,734,1,0.42,3,0.17,0
40992,634,0,0.29,3,0.14,0
47985,589,0,0.13,1,0.39,0
57580,676,1,0.42,0,0.29,0
54344,640,0,0.3,2,0.15,0
50105,766,0,1.0,2,0.29,0
51196,735,0,0.36,1,0.34,0
57509,685,0,0.44,2,0.34,0
56976,658,0,0.36,2,0.36,0
49805,766,2,0.1,2,0.3,0
40838,588,1,0.68,3,0.38,0
52924,650,0,0.06,4,0.38,0
33158,598,0,0.46,0,0.29,0
44494,677,1,0.44,2,0.34,0
53739,697,0,0.06,3,0.33,0
35348,722,0,0.75,2,0.48,0
62423,661,0,0.56,4,0.06,0
50105,696,0,0.39,2,0.07,0
52371,725,0,0.58,2,0.37,0
51001,699,1,0.46,2,0.36,0
50105,704,0,0.42,3,0.44,0
43247,717,2,0.1,1,0.18,0
50105,658,1,0.68,2,0.13,0
44898,672,0,0.44,2,0.35,0
58079,704,1,0.75,1,0.26,0
66734,664,0,0.79,0,0.08,0
58419,696,0,0.32,1,0.36,0
62602,531,0,0.28,2,0.23,0
49055,722,0,0.21,2,0.25,0
46348,646,0,0.77,1,0.37,0
66676,621,0,0.75,1,0.22,0
59192,665,0,0.77,3,0.25,0
56595,748,0,0.18,1,0.37,0
57901,719,0,0.75,7,0.36,0
50105,714,0,0.47,0,0.32,0
47181,691,0,0.68,1,0.04,0
53158,675,2,0.1,1,0.24,0
62768,477,1,0.33,0,0.14,0
50105,725,0,0.49,3,0.29,0
51987,661,1,0.34,0,0.29,0
61392,653,0,0.37,0,0.49,0
68715,698,0,0.48,2,0.14,0
52352,656,1,0.61,0,0.28,0
63682,662,0,0.23,3,0.13,0
53112,692,0,0.22,1,0.36,0
36515,668,0,0.26,1,0.29,0
52579,763,0,0.44,3,0.19,0
35660,697,0,0.6,0,0.4,0
50616,639,1,0.36,1,0.33,0
34190,671,0,0.6,0,0.42,0
50105,646,0,0.35,0,0.29,0
58683,658,0,0.19,0,0.27,0
51755,608,0,0.24,1,0.46,0
58760,699,0,0.3,2,0.18,0
50105,676,0,0.39,1,0.29,0
44322,680,0,0.07,4,0.25,0
50105,682,1,0.61,0,0.29,0
60361,649,1,0.57,0,0.15,0
50105,745,0,0.25,3,0.29,0
57195,702,0,0.77,1,0.32,0
55868,613,0,0.9,1,0.31,0
50105,737,1,0.53,1,0.18,0
50105,675,0,1.0,1,0.29,0
54236,559,1,0.11,1,0.35,0
42009,690,0,0.45,5,0.34,0
55297,648,0,0.32,0,0.24,0
57093,683,0,0.03,0,0.23,0
46167,632,0,0.35,1,0.24,0
63844,652,2,0.58,0,0.24,0
32373,631,0,0.12,1,0.52,0
65707,616,0,0.17,2,0.12,0
44780,601,0,0.28,1,0.43,0
50633,666,0,0.38,0,0.21,0
49571,702,1,0.95,2,0.29,0
56862,686,0,0.09,1,0.48,0
33178,637,0,0.58,1,0.51,0
62276,630,0,0.37,1,0.1,0
55076,638,1,0.42,1,0.2,0
62012,645,0,0.67,1,0.13,0
50105,663,0,0.38,1,0.1,0
39571,666,0,0.45,1,0.21,0
33983,673,1,0.62,0,0.35,0
32498,709,0,0.87,2,0.04,0
49255,691,2,0.79,2,0.39,0
43424,653,1,0.2,0,0.05,0
40586,703,0,0.36,3,0.52,0
61879,698,0,0.22,0,0.15,0
49359,689,2,0.44,0,0.18,0
50105,733,1,0.21,1,0.23,0
46063,682,2,0.54,4,0.44,1
43522,698,0,0.39,2,0.5,0
45520,705,1,0.36,1,0.44,0
44340,659,1,0.13,0,0.48,0
60113,659,0,0.06,2,0.23,0
35300,596,0,0.22,4,0.38,0
43117,699,0,0.13,4,0.31,0
38426,612,0,0.23,2,0.37,0
36763,617,1,0.17,0,0.28,0
31994,668,1,0.43,2,0.31,0
61060,660,0,0.21,1,0.32,0
45029,720,0,0.21,1,0.13,0
45219,644,0,0.53,3,0.15,0
50105,730,0,0.2,1,0.29,0
43467,670,0,0.64,0,0.44,0
38388,651,0,0.62,0,0.35,0
35781,688,0,0.65,2,0.29,0
46682,741,1,0.63,2,0.4,0
69141,634,0,0.29,2,0.09,0
39206,580,0,0.55,1,0.25,0
56396,728,1,0.33,1,0.24,0
51031,579,0,0.33,1,0.16,0
51722,626,0,0.26,3,0.13,0
41780,663,0,0.46,2,0.03,0
50105,732,0,0.46,0,0.19,0
39742,618,1,0.53,2,0.21,0
46004,779,0,0.62,3,0.33,0
41192,608,0,0.48,3,0.53,0
35357,753,0,0.16,3,0.34,0
33062,678,0,0.7,3,0.29,0
50105,783,1,0.11,1,0.07,0
46673,660,0,0.64,1,0.47,0
64260,818,0,1.0,1,0.29,0
64968,735,0,0.44,4,0.24,0
50105,654,0,0.35,1,0.49,0
50105,717,0,0.51,3,0.05,0
54840,727,0,0.29,1,0.17,0
39111,667,0,0.73,3,0.39,0
62386,644,0,0.21,2,0.37,0
44808,719,0,0.12,0,0.27,0
56214,625,0,0.33,3,0.14,0
45467,670,0,0.02,3,0.16,0
38454,692,0,0.04,2,0.25,0
50105,697,0,0.19,1,0.33,0
57749,670,0,0.64,1,0.28,0
59665,675,0,0.17,2,0.42,0
50105,681,0,0.95,2,0.29,0
32884,633,0,0.46,0,0.38,0
56921,649,0,0.36,1,0.41,0
45727,638,0,0.66,0,0.3,0
38450,596,0,0.26,2,0.44,0
50105,650,0,0.24,0,0.35,0
39356,682,1,0.15,0,0.49,0
48227,703,0,0.15,2,0.28,0
33303,737,0,0.59,1,0.29,0
58553,724,0,0.99,2,0.38,0
63722,664,2,0.18,0,0.29,0
60637,607,0,0.06,1,0.02,0
50174,687,1,0.52,1,0.13,0
60979,738,0,0.83,1,0.25,0
56576,625,0,0.2,0,0.08,0
62181,635,0,0.2,1,0.17,0
